PIADA;REPOSTA 
– Por que a aranha é o animal mais carente do mundo?;– Porque ela é um aracneedyou 
– Sabia que tomar suco devagar é mais gostoso?;– Porque é mais sucolento.
– Por que o pinheiro não se perde na floresta?;– Porque ele tem uma pinha (um “mapinha”)
– Viu que a vó tá sem relógio?;– Pois é, já é uma sem hora.
– Sabe como é a piada do pintinho caipira?;– Pir.
-Daqui a pouco esses frutos do mar vão dormir, sabia?;-Eles cama-rão.
– Sabe onde a priminha conseguiu as bonecas dela?;-Na Barbiaria.
– O que o pagodeiro foi fazer na igreja?;– Foi cantar Pá God.
– Por que o Napoleão era chamado sempre para as festas na França?;-Porque ele era BOM NA PARTY (party, em inglês, quer dizer “festa”)
-Como fazer um nó em duas motos?;– Pega as duas e Yamaha.
– O que aconteceu com os lápis quando souberam que o dono da Faber Castell morreu?;– Eles ficaram desapontados.
-Você conhece a piada do pônei?;-Pô, nei eu!
– A plantinha foi ao hospital, mas não foi atendida. Por quê?;– Porque lá só tinha médico de PLANTÃO.
– Você conhece o site do cavalinho?;– É www ponto cavalinho ponto com ponto com ponto com ponto com ponto com (…)
– Deve ser difícil ser professor de natação. Por que?;– Você ensina, ensina, e o aluno nada.
– Qual é a fórmula da água benta?;– H Deus O.
– Qual é o rei dos queijos?;– É o reiqueijão.
– O que o pato falou para a pata?;– “Vem quá“.
– Sabia que essa carne já foi um peto um dia? ;Agora é um ex-peto.
– O que é, o que é: M@conh@ enrolada no jornal?;– Baseado em fatos reais.
– Qual campeonato é melhor que aspirina?;– Liberta-dores.
– O que a vaca disse pro boi?;– Te amuuuuuuu….
– O que a Xuxa foi fazer no bar?;– Beber Ca Sasha (cachaça).
– Havia dois caminhões voando. Um caiu. Por que o outro continuou voando?;– Porque era “caminhão-pipa”.
– O que o Aquaman faz para salvar o mundo?;– Nada.
– Por que a formiga tem quatro patas?;– Porque se tivesse cinco se chamaria “FIVEMIGA”.
– O que acontece quando chove na Inglaterra?;– Vira “Inglalama”
– Qual a diferença de 14h para 2h?;– 12 horas.
-O que o sal disse para a batata?;-É nóis na frita!
– O que o tomate foi fazer no banco?;– Tirar extrato.
– Como se chama a pessoa que viu o Thor de perto?;– Vi-Thor.
– Por que há uma cama elástica no polo Norte?;– Para o urso “polar”.
– Quero terminar, você é muito imaturo;"– Quem…? 
– Você
– … te perguntou…?"
Fui comprar um remédio e o farmacêutico perguntou se eu tinha receita.;Respondi que se eu tivesse a receita, faria o remédio em casa.
– Qual é a maior injustiça do Natal?;– O peru é que morre, e a missa é do galo!
– Qual é o doce preferido do átomo?;– Pé-de-moléculas!
– Qual é o único prato que ninguém consegue fazer direito?;– A torta!
– O que é um pontinho amarelo na limusine?;– É um “miLHOonário”!
– Quando os americanos comeram carne pela primeira vez?;– Quando chegou Cristóvão “Com Lombo”.
Robin vivia brigando com o irmão, que um dia o dedurou para a mãe.;Qual é o nome do filme? R: Bate, mãe, em Robin. (Trocadilho com o filme Batman e Robin)
– O que a zebra disse para a mosca?;– Você está na minha listra negra.
– O que é um astrólogo andando a cavalo?;– Cavaleiro do Zodíaco.
– Qual é o cachorro que vai à missa todo dia?;– O pastor alemão.
– Um gatinho miou para a lua, porém ela não respondeu. Por quê?;– Porque astro-no-mia.
– Como o átomo atende ao telefone?;– Próton!
– O que aconteceu quando o policial se olhou no espelho ?;– O policial civil.
– Qual é a comida que liga e desliga?;– Estrog-On-Off (Em inglês, On significa Ligar e Off, desligar)
– Por que o jacaré tirou o filho da escola?;– Porque ele réptil (repetiu) de ano.
- Qual é a panela que está sempre triste?;A panela depressão.
O que estará escrito na lápide do Papai Noel?;Ele não está mais em trenós.
- Você gosta de bonecas russas?;- Eu não, elas são muito cheias de si.
- Qual é o oposto de volátil?;- Vem cá sobrinho.
- De que o diabo morreu?;- Diabetes.
- Por que as plantinhas não falam?;- Porque elas são mudinhas.
Qual é a fórmula da água benta?;R.: H Deus O!
- Querido, o relógio da parede quase caiu na cabeça da mamãe.;- Droga de relógio, está sempre atrasado!
- O que o pinto disse para seu pai?;- Piu.
- O que os estilistas fazem no tempo livre?;- Inventam moda.
- Como é a piada do pinto caipira?;- Pirrrr.
Como se chama é o coveiro do cemitério?;O Seu Pultura.
Ei, por que você não ligou o chuveiro?;Porque esse xampu é para cabelos secos.
Qual a cidade brasileira onde não tem táxis?; Uberlândia.
Qual é o peixe que caiu do 10º andar?;O aaaaaaatuuuuuuum.
Como se chama alguém que nasceu no Brasil, viveu na Escócia, se mudou para a África e morreu na China?;Defunto.
Quer saber um bom chá para a calvície?;É o chá-péu.
Por que o jacaré tirou o filho da escola?;Porque ele réptil de ano.
Para que servem os óculos vermelhos?;Para vermelhor.
O que um tijolo falou para o outro?;Há um cimento entre nós.
Por que a macaca Chita ficou braba com o Tarzan?;Porque ele é amigo da onça.
Como fazer um nó em duas motos?;Pega as duas e Yamaha.
Há duas palavras que abrem muitas portas.;Quais são? - Puxe e empurre.
O que o Aquaman faz para salvar o mundo?;Nada.
;
